Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	Fire ignited outside the perimeter of the main fire by a <u>firewood</u>.	firebrand	brood	upright	loom	literate
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	The new eggs soon hatch and caterpillars identical to the spring <u>dwell</u> appear.	brood	unique	firebrand	germinate	luster
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	The <u>layabout</u> of vacuum cleaners in a hallway, telling guests that they've slept past checkout time.	drone	singe	upright	downright	unique
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	But only a couple of feet separates you from the fire, which may <u>scorch</u> your hair.	singe	verify	alight	luster	literate
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	No-one should expect seeds to <u>develop</u> when it is dry.	germinate	indignant	unique	luster	culminate
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	One is <u>fractious</u>, if one can't have one's proper rest.	peevish	singe	loom	indignant	luster
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	Even the bill's political <u>brightness</u> no longer seems certain.	luster	brood	yearn	ingredient	upright
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	Of course, it is also an important <u>element</u> in the making of beer and whiskey.	ingredient	brood	indulge	upright	culminate
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	Workshops <u>arrive at</u> in a public concert featuring singers and participants.	culminate	upright	yearn	verify	luster
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	His comprehensive outlook is something for which, in our fragmented and rootless modernity, many of us <u>want</u>.	yearn	humdrum	literate	indulge	firebrand
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	The occasion for this brief <u>oratory</u> was a traveling hip-hop festival.	oration	loom	indulge	downright	literate
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	So with less apparently on the line, it is easier to <u>do by</u> in the seeming luxury of vaccine skepticism and avoidance.	indulge	humdrum	singe	firebrand	ingredient
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	Something <u>unequalled</u> was going on here, and the proof came in the testing.	unique	culminate	loom	germinate	drone
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	Ask your employer to <u>affirm</u> your release from employment.	verify	downright	singe	miscellaneous	firebrand
Vocabulary	Identify the correct synonym for the underlined <u>word</u>.	Outside, a worker standing waist-deep in the raceway crowded the fish toward a hydraulic pump, using a broom to <u>encouragement</u> stragglers.	goad	verify	alight	miscellaneous	luster
Part of Speech Application	Identify the <b>adjective</b> in the following sentence:	The Pantheon's interior, still in its original form, is truly majestic and an architectural triumph. Its rotunda forms a perfect circle whose diameter is equal to the height from the floor to the ceiling.	original	diameter	equal	is	Pantheon's
Part of Speech Application	Identify the <b>preposition</b> in the following sentence:	The small shaft of blue had drifted down and come to rest at his feet. All day long Mr. Podger, who was a straw-hat man in the summer, had worn the feather in the band of his broad-brimmed sunshield.	of	had	feet.	Mr.	straw-hat
Part of Speech Application	Identify the <b>subordinate conjunction</b> in the following sentence:	They graduated together from Atlanta's Turner High School, where Valedictorian Holmes was first in the class and Charlayne third. The university rejected them on a variety of pretexts, but was careful never to mention the color of their skins.	where 	Turner	third.	variety	first
Part of Speech Application	Identify the <b>adverb</b> in the following sentence:	"Maybe", Jack said idly, watching for Miss Langford. Presently she came out of the schoolhouse.	Maybe	idly,	she	Presently	Langford.
Part of Speech Application	Identify the <b>superlative adverb</b> in the following sentence:	With traditional nationalistic spirit, some Englishmen claim that English Catholicism is Catholicism at its best. I have found myself saying with other foreigners here that English Catholics are good Catholics.	best	Catholics.	that	good	other
Part of Speech Application	Identify the <b>coordinating conjunction (fanboys)</b> in the following sentence:	They have a son, William Berry Jr., and a daughter, Mrs. J. M. Cheshire of Griffin. Attorneys for the mayor said that an amicable property settlement has been agreed upon.	and	Cheshire	said	been	amicable
Part of Speech Application	Identify the <b>correlative conjunction</b> in the following sentence:	This is a very common experience and should in no way discourage or dishearten either husband or wife. Or the frequent need to check and discipline himself to the wisest pace of the consummation can put him off stride and make it impossible for him to be continuously ready for penetration over a long period.	either	to	consummation	to	long
Part of Speech Application	Identify the <b>comparative adverb</b> in the following sentence:	His four weeks in Italy had turned into nearer three months. He had returned to the pension a week ago.	nearer	into	weeks	week	returned
Part of Speech Application	Identify the kind of <u>word</u> in the following sentence:	"We're going <u>to</u> Philadelphia", Kitty said, pulling her skirt down around her legs all the more. "No, I don't think so", said the big man, and it was the final clincher for Ernie.	preposition	subordinating conjunction	superlative adv.	coordinating conjunction	comparative adverb
Part of Speech Application	Identify the kind of <u>word</u> in the following sentence:	The trouble was at <u>least partly</u> Juet's doing. For weeks he had been saying that Hudson's idea of sailing through to Java was absurd.	superlative adv.	coordinating conjunction	correlative conjunction	comparative adverb	subordinating conjunction
Part of Speech Application	Identify the kind of <u>word</u> in the following sentence:	As the hour progresses, the sensitive seems to probe <u>more deeply</u> and to make more personal and specific statements. There are a few prognoses of coming events.	comparative adv.	superlative adv.	correlative conjunction	coordinating conjunction	superlative adverb
Part of Speech Application	Identify the kind of <u>word</u> in the following sentence:	"The <u>best</u> condition of it would be an open conflict and rivalry of the diverse systems." The world might ring with the struggle, if we devoted ourselves exclusively to belaboring each other"."	superlative adverb	preposition	coordinating conjunction	comparative adv.	correlative conjunction
